ID,Traffico,no_existing_chg,mixed_use_area_per_cell,centroid_x,centroid_y,Colore
290,0,0,nan,384572.0,397514,lightcyan
291,10494,0,nan,384701.9038105677,397737,lightskyblue
292,6522,0,nan,384572.0,397960,lightskyblue
293,0,0,nan,384701.9038105677,398183,lightcyan
294,19035,0,nan,384572.0,398406,deepskyblue
295,97511,0,nan,384701.9038105677,398629,darkblue
296,34350,0,nan,384572.0,398852,deepskyblue
297,0,0,nan,384701.9038105677,399075,lightcyan
298,0,0,nan,384572.0,399298,lightcyan
299,0,0,nan,384701.9038105677,399521,lightcyan
300,0,0,nan,384572.0,399744,lightcyan
301,0,0,nan,384701.9038105677,399967,lightcyan
302,0,0,nan,384572.0,400190,lightcyan
303,0,0,nan,384701.9038105677,400413,lightcyan
304,0,0,nan,384572.0,400636,lightcyan
305,0,0,nan,384701.9038105677,400859,lightcyan
306,0,0,nan,384831,393500,lightcyan
307,0,0,nan,384960.9038105677,393723,lightcyan
308,0,0,0.0,384831.0,393946,lightcyan
309,11506,0,nan,384960.9038105677,394169,lightskyblue
310,0,0,0.0,384831.0,394392,lightcyan
311,0,1,nan,384960.9038105677,394615,lightcyan
312,0,0,88119.769,384831.0,394838,lightcyan
313,0,0,nan,384960.9038105677,395061,lightcyan
314,0,0,nan,384831.0,395284,lightcyan
315,0,0,136884.126,384960.9038105677,395507,lightcyan
316,9258,0,nan,384831.0,395730,lightskyblue
317,0,0,7111.33,384960.9038105677,395953,lightcyan
318,0,1,nan,384831.0,396176,lightcyan
319,0,1,0.0,384960.9038105677,396399,lightcyan
320,0,0,nan,384831.0,396622,lightcyan
321,0,0,0.0,384960.9038105677,396845,lightcyan
322,0,0,nan,384831.0,397068,lightcyan
323,14749,0,19249.337,384960.9038105677,397291,deepskyblue
324,0,0,nan,384831.0,397514,lightcyan
325,0,1,nan,384960.9038105677,397737,lightcyan
326,0,0,29354.763,384831.0,397960,lightcyan
327,0,5,nan,384960.9038105677,398183,lightcyan
328,0,8,72457.91,384831.0,398406,lightcyan
