,longitude,latitude
12087,-2.2544676,53.4871728
12068,-2.2533197,53.4871978
12088,-2.2545146,53.4872012
3049,-2.2511716,53.487282
12069,-2.2535378,53.4873232
4304,-2.2487341,53.4872268
11844,-2.2475241,53.4887736
11845,-2.2474692,53.4902662
11846,-2.2482134,53.4912091
11847,-2.248339,53.4913322
11850,-2.2504189,53.491485
11848,-2.2490267,53.4921368
12326,-2.2493763,53.4925358
12327,-2.2495591,53.4927502
12312,-2.2486944,53.4928389
12070,-2.2532125,53.4873249
12071,-2.2543788,53.4875984
2844,-2.2552494,53.4879513
4363,-2.2554158,53.4881067
13207,-2.257384,53.48881
12072,-2.2573393,53.4889913
12077,-2.2516315,53.4893492
12076,-2.2547585,53.490245
4853,-2.253686,53.4928873
12339,-2.2510011,53.493379
9202,-2.2581317,53.4881636
10854,-2.2692591,53.4882087
10855,-2.2692199,53.4884698
10857,-2.2696892,53.4888573
11202,-2.2594338,53.4908538
12062,-2.2592022,53.4919493
13136,-2.259578,53.491967
2678,-2.2664986,53.4929416
2614,-2.2590114,53.4959212
2612,-2.2580068,53.4959956
12328,-2.2496752,53.4928879
12313,-2.2494112,53.4930776
12314,-2.2495472,53.4931909
12315,-2.2495841,53.493238
12329,-2.2500676,53.4933461
12316,-2.2496976,53.4933699
12317,-2.2497259,53.4934006
12330,-2.2501404,53.4934304
12318,-2.2497848,53.4934704
12337,-2.2505184,53.4935175
12319,-2.2498581,53.4935613
12331,-2.2503028,53.4936384
12332,-2.2503411,53.4936852
12333,-2.2503668,53.4937209
12336,-2.250382,53.4937374
12334,-2.2504124,53.493774
12335,-2.2504533,53.4938255
12340,-2.2505543,53.4939483
12321,-2.2503152,53.4940605
12322,-2.2503137,53.4940882
12338,-2.2508042,53.4934361
12341,-2.2506331,53.4940336
12342,-2.2508554,53.4942789
12343,-2.2509243,53.4943639
2616,-2.2530032,53.4950085
2613,-2.2528048,53.4950149
12371,-2.2517158,53.4956422
12372,-2.251772,53.4957086
12373,-2.25183,53.4957661
12374,-2.2518879,53.4958332
12320,-2.2495656,53.4940893
12323,-2.2502209,53.4940903
12324,-2.2504089,53.4942033
12345,-2.2491096,53.4949766
12344,-2.2488293,53.4950364
12346,-2.2497258,53.4953174
12348,-2.247307,53.4955848
2615,-2.2495424,53.495671
12349,-2.2469735,53.4957735
12503,-2.2473251,53.498309
13084,-2.262226,53.496304
13073,-2.264402,53.49712
13159,-2.262201,53.497903
13143,-2.262146,53.501015
465,-2.2581579,53.5016963
13193,-2.258321,53.501892
9470,-2.2601443,53.5052059
9069,-2.2587204,53.5054882
8870,-2.2605531,53.506942
3537,-2.2639773,53.5069464
13083,-2.257029,53.495858
12375,-2.2520688,53.496017
12527,-2.2546858,53.4988094
2694,-2.2553132,53.4990038
464,-2.2557886,53.5002358
463,-2.256398,53.5006544
432,-2.257222,53.5016499
466,-2.2547869,53.5031044
2453,-2.2555997,53.5036869
3023,-2.2506548,53.5080966
431,-2.2475687,53.4983296
4850,-2.2491074,53.5009065
5682,-2.2492513,53.503321
2617,-2.2483138,53.5062411
1436,-2.2468906,53.5145813
3025,-2.2527791,53.5083997
2620,-2.253466,53.5087233
3915,-2.253151,53.509426
2621,-2.2527015,53.5105608
2344,-2.2566008,53.5140698
9767,-2.2593968,53.5101794
1179,-2.2635783,53.5107244
2695,-2.2678594,53.5143376
7356,-2.2437401,53.4406732
9475,-2.2435887,53.4420287
8819,-2.2444002,53.4479163
4751,-2.245686,53.449685
8240,-2.2447003,53.4521884
8820,-2.2389778,53.4434802
13833,-2.2388628,53.4463348
13166,-2.238963,53.446427
9027,-2.2390062,53.4466108
9026,-2.2392335,53.4466136
9028,-2.2389391,53.4466332
9029,-2.2388774,53.4466531
9004,-2.2385207,53.4467809
9025,-2.2392502,53.4468452
9005,-2.2383007,53.4468548
9006,-2.2381666,53.4468963
9007,-2.2379896,53.4469578
9008,-2.2379239,53.4469794
3122,-2.2392378,53.4469798
9009,-2.2378595,53.4470018
9024,-2.2392704,53.4471663
9023,-2.2392704,53.4472366
9018,-2.2378421,53.4476855
3119,-2.2378987,53.447708
9015,-2.2371072,53.4472757
