,0
1587,0.02
1588,0.29
1589,0.14
1590,0.27
1591,0.08
1592,0.02
1593,0.29
1594,0.29
1595,0.29
1596,0.27
1597,0.29
1598,0.27
1599,0.29
1600,0.29
1601,0.29
1602,0.27
1603,0.27
1604,0.29
1605,0.27
1606,0.29
1607,0.29
1608,0.02
1609,0.08
1610,0.27
1611,0.27
1612,0.08
1613,0.27
1614,0.08
1615,0.27
1616,0.27
1617,0.29
1618,0.29
1619,0.29
1620,0.08
1621,0.29
1622,0.29
1623,0.27
1624,0.27
1625,0.29
1626,0.27
1627,0.29
1628,0.29
1629,0.29
1630,0.27
1631,0.29
1632,0.29
1633,0.29
1634,0.29
1635,0.14
1636,0.17
1637,0.14
1638,0.14
1639,0.29
1640,0.29
1641,0.14
1642,0.29
1643,0.14
1644,0.14
1645,0.29
1646,0.29
1647,0.0
1648,0.14
1649,0.0
1650,0.0
1651,0.14
1652,0.27
1653,0.14
1654,0.27
1655,0.14
1656,0.14
1657,0.0
1658,0.0
1659,0.0
1660,0.27
1661,0.0
1662,0.14
1663,0.14
1664,0.14
1665,0.29
1666,0.29
1667,0.27
1668,0.29
1669,0.29
1670,0.17
1671,0.29
1672,0.29
1673,0.29
1674,0.17
1675,0.27
1676,0.29
1677,0.29
1678,0.29
1679,0.14
1680,0.27
1681,0.29
1682,0.29
1683,0.0
1684,0.27
1685,0.29
1686,0.29
1687,0.29
1688,0.29
1689,0.29
1690,0.29
1691,0.29
1692,0.14
1693,0.14
1694,0.29
1695,0.27
1696,0.29
1697,0.27
1698,0.14
1699,0.14
1700,0.14
1701,0.14
1702,0.14
1703,0.02
1704,0.27
1705,0.27
1706,0.27
1707,0.27
1708,0.14
1709,0.27
1710,0.29
1711,0.27
1712,0.08
1713,0.27
1714,0.27
1715,0.27
1716,0.29
1717,0.29
1718,0.29
1719,0.27
1720,0.29
1721,0.27
1722,0.29
1723,0.29
1724,0.02
1725,0.27
1726,0.27
1727,0.08
1728,0.02
1729,0.27
1730,0.29
1731,0.29
1732,0.27
1733,0.29
1734,0.27
1735,0.27
1736,0.27
1737,0.29
1738,0.27
1739,0.27
1740,0.27
1741,0.02
1742,0.02
1743,0.29
1744,0.27
1745,0.02
1746,0.29
1747,0.27
1748,0.29
1749,0.27
1750,0.29
1751,0.27
1752,0.27
1753,0.29
1754,0.29
1755,0.29
1756,0.27
1757,0.29
1758,0.27
1759,0.29
1760,0.29
1761,0.29
1762,0.27
1763,0.29
1764,0.29
1765,0.29
1766,0.02
1767,0.29
1768,0.29
1769,0.14
1770,0.14
1771,0.27
1772,0.27
1773,0.27
1774,0.08
1775,0.27
1776,0.14
1777,0.27
1778,0.29
1779,0.29
1780,0.0
1781,0.27
1782,0.29
1783,0.29
1784,0.27
1785,0.27
1786,0.02
1787,0.27
1788,0.29
1789,0.27
1790,0.27
1791,0.29
1792,0.29
1793,0.29
1794,0.02
1795,0.29
1796,0.27
1797,0.29
1798,0.27
1799,0.29
1800,0.27
1801,0.29
1802,0.29
1803,0.29
1804,0.29
1805,0.29
1806,0.27
1807,0.27
1808,0.17
1809,0.29
1810,0.29
1811,0.27
1812,0.02
1813,0.14
1814,0.14
1815,0.27
1816,0.29
1817,0.02
1818,0.02
1819,0.29
1820,0.02
1821,0.29
1822,0.29
1823,0.17
1824,0.14
1825,0.14
1826,0.27
1827,0.02
1828,0.17
1829,0.29
1830,0.02
1831,0.02
1832,0.0
1833,0.29
1834,0.02
1835,0.27
1836,0.0
1837,0.29
1838,0.27
1839,0.27
1840,0.17
1841,0.17
1842,0.27
1843,0.0
1844,0.29
1845,0.0
1846,0.29
1847,0.27
1848,0.29
1849,0.29
1850,0.29
1851,0.29
1852,0.27
1853,0.29
1854,0.29
1855,0.29
1856,0.29
1857,0.29
1858,0.27
1859,0.14
1860,0.29
1861,0.29
1862,0.27
1863,0.29
1864,0.27
1865,0.27
1866,0.27
1867,0.27
1868,0.29
1869,0.29
1870,0.27
1871,0.27
1872,0.27
1873,0.27
1874,0.29
1875,0.27
1876,0.29
1877,0.27
1878,0.29
1879,0.27
1880,0.29
1881,0.27
1882,0.29
1883,0.02
1884,0.27
1885,0.27
1886,0.29
1887,0.29
1888,0.27
1889,0.14
1890,0.27
1891,0.29
1892,0.29
1893,0.29
1894,0.29
1895,0.27
1896,0.27
1897,0.27
1898,0.27
1899,0.29
1900,0.27
1901,0.29
1902,0.27
1903,0.0
1904,0.0
1905,0.29
1906,0.02
1907,0.29
1908,0.14
1909,0.29
1910,0.29
1911,0.29
1912,0.29
1913,0.14
1914,0.27
1915,0.27
1916,0.27
1917,0.29
1918,0.17
1919,0.14
1920,0.29
1921,0.29
1922,0.0
1923,0.27
1924,0.27
1925,0.14
1926,0.0
1927,0.27
1928,0.29
1929,0.29
1930,0.29
1931,0.27
1932,0.27
1933,0.27
1934,0.29
1935,0.29
1936,0.27
1937,0.27
1938,0.27
1939,0.27
1940,0.27
1941,0.27
1942,0.27
1943,0.27
1944,0.29
1945,0.27
1946,0.27
1947,0.0
1948,0.17
1949,0.17
1950,0.02
1951,0.27
1952,0.08
1953,0.27
1954,0.29
1955,0.29
1956,0.27
1957,0.14
1958,0.29
1959,0.14
1960,0.0
1961,0.29
1962,0.17
1963,0.29
1964,0.27
1965,0.29
1966,0.29
1967,0.29
1968,0.27
1969,0.29
1970,0.29
1971,0.0
1972,0.0
1973,0.0
1974,0.29
1975,0.0
1976,0.0
1977,0.27
1978,0.0
1979,0.27
1980,0.29
1981,0.0
1982,0.17
1983,0.14
1984,0.29
1985,0.27
1986,0.14
1987,0.0
1988,0.29
1989,0.29
1990,0.29
1991,0.29
1992,0.0
1993,0.0
1994,0.0
1995,0.27
1996,0.29
1997,0.14
1998,0.27
1999,0.29
2000,0.27
2001,0.29
2002,0.29
2003,0.29
2004,0.27
2005,0.29
2006,0.29
2007,0.27
2008,0.29
2009,0.29
2010,0.27
2011,0.0
2012,0.27
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.27
2018,0.29
2019,0.02
2020,0.29
2021,0.27
2022,0.29
2023,0.29
2024,0.29
2025,0.29
2026,0.29
2027,0.17
2028,0.27
2029,0.29
2030,0.02
2031,0.27
2032,0.08
2033,0.29
2034,0.14
2035,0.29
2036,0.29
2037,0.29
2038,0.14
2039,0.0
2040,0.0
2041,0.27
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.17
2049,0.0
2050,0.0
2051,0.0
2052,0.0
2053,0.0
2054,0.0
2055,0.0
2056,0.0
2057,0.14
2058,0.27
2059,0.14
2060,0.27
2061,0.27
2062,0.14
2063,0.27
2064,0.0
2065,0.0
2066,0.29
2067,0.0
2068,0.0
2069,0.0
2070,0.0
2071,0.27
2072,0.14
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.14
2078,0.0
2079,0.0
2080,0.0
2081,0.14
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.14
2091,0.14
2092,0.27
2093,0.29
2094,0.29
2095,0.27
2096,0.29
2097,0.14
2098,0.14
2099,0.14
2100,0.0
2101,0.0
2102,0.0
2103,0.27
2104,0.14
2105,0.0
2106,0.0
2107,0.29
2108,0.29
2109,0.29
2110,0.29
2111,0.29
2112,0.14
2113,0.29
2114,0.29
2115,0.29
2116,0.0
2117,0.29
2118,0.27
2119,0.29
2120,0.29
2121,0.27
2122,0.27
2123,0.27
2124,0.29
2125,0.0
2126,0.0
2127,0.27
2128,0.29
2129,0.29
2130,0.29
2131,0.29
2132,0.08
2133,0.14
2134,0.14
2135,0.27
2136,0.02
2137,0.0
2138,0.27
2139,0.14
