,0
1616,0.29
1617,0.02
1618,0.02
1619,0.29
1620,0.0
1621,0.02
1622,0.02
1623,0.0
1624,0.29
1625,0.0
1626,0.29
1627,0.29
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.17
1633,0.08
1634,0.17
1635,0.29
1636,0.17
1637,0.0
1638,0.0
1639,0.02
1640,0.17
1641,0.0
1642,0.02
1643,0.29
1644,0.14
1645,0.02
1646,0.0
1647,0.0
1648,0.29
1649,0.0
1650,0.0
1651,0.02
1652,0.27
1653,0.29
1654,0.02
1655,0.29
1656,0.29
1657,0.29
1658,0.02
1659,0.29
1660,0.02
1661,0.0
1662,0.02
1663,0.02
1664,0.29
1665,0.29
1666,0.29
1667,0.0
1668,0.02
1669,0.14
1670,0.08
1671,0.27
1672,0.27
1673,0.17
1674,0.17
1675,0.29
1676,0.02
1677,0.0
1678,0.29
1679,0.27
1680,0.29
1681,0.29
1682,0.29
1683,0.29
1684,0.17
1685,0.02
1686,0.29
1687,0.29
1688,0.02
1689,0.29
1690,0.02
1691,0.29
1692,0.29
1693,0.29
1694,0.17
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.14
1705,0.17
1706,0.29
1707,0.0
1708,0.0
1709,0.14
1710,0.02
1711,0.02
1712,0.0
1713,0.17
1714,0.17
1715,0.29
1716,0.17
1717,0.0
1718,0.0
1719,0.17
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.17
1726,0.29
1727,0.27
1728,0.29
1729,0.27
1730,0.27
1731,0.29
1732,0.0
1733,0.02
1734,0.02
1735,0.14
1736,0.0
1737,0.02
1738,0.29
1739,0.02
1740,0.29
1741,0.27
1742,0.17
1743,0.17
1744,0.17
1745,0.02
1746,0.0
1747,0.02
1748,0.0
1749,0.0
1750,0.27
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.29
1758,0.0
1759,0.0
1760,0.02
1761,0.02
1762,0.29
1763,0.0
1764,0.17
1765,0.29
1766,0.02
1767,0.29
1768,0.17
1769,0.29
1770,0.29
1771,0.02
1772,0.27
1773,0.29
1774,0.29
1775,0.02
1776,0.29
1777,0.0
1778,0.14
1779,0.29
1780,0.14
1781,0.29
1782,0.27
1783,0.29
1784,0.17
1785,0.29
1786,0.29
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.17
1794,0.0
1795,0.29
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.27
1801,0.02
1802,0.27
1803,0.27
1804,0.27
1805,0.29
1806,0.27
1807,0.02
1808,0.14
1809,0.0
1810,0.29
1811,0.02
1812,0.14
1813,0.29
1814,0.14
1815,0.17
1816,0.0
1817,0.0
1818,0.0
1819,0.27
1820,0.0
1821,0.02
1822,0.0
1823,0.0
1824,0.0
1825,0.17
1826,0.02
1827,0.27
1828,0.0
1829,0.29
1830,0.08
1831,0.08
1832,0.29
1833,0.08
1834,0.0
1835,0.17
1836,0.27
1837,0.27
1838,0.27
1839,0.29
1840,0.27
1841,0.29
1842,0.27
1843,0.27
1844,0.29
1845,0.27
1846,0.29
1847,0.27
1848,0.29
1849,0.27
1850,0.29
1851,0.27
1852,0.27
1853,0.27
1854,0.29
1855,0.27
1856,0.29
1857,0.29
1858,0.29
1859,0.02
1860,0.29
1861,0.29
1862,0.02
1863,0.02
1864,0.02
1865,0.27
1866,0.29
1867,0.08
1868,0.02
1869,0.02
1870,0.02
1871,0.14
1872,0.29
1873,0.08
1874,0.27
1875,0.02
1876,0.02
1877,0.29
1878,0.29
1879,0.0
1880,0.0
1881,0.29
1882,0.02
1883,0.02
1884,0.0
1885,0.17
1886,0.29
1887,0.29
1888,0.0
1889,0.27
1890,0.29
1891,0.0
1892,0.29
1893,0.0
1894,0.0
1895,0.0
1896,0.02
1897,0.29
1898,0.02
1899,0.29
1900,0.29
1901,0.02
1902,0.29
1903,0.27
1904,0.02
1905,0.02
1906,0.29
1907,0.27
1908,0.02
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.02
1920,0.29
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.27
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.27
1944,0.0
1945,0.0
1946,0.0
1947,0.27
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.29
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.27
1978,0.0
1979,0.29
1980,0.0
1981,0.0
1982,0.29
1983,0.27
1984,0.0
1985,0.0
1986,0.0
1987,0.27
1988,0.27
1989,0.27
1990,0.17
1991,0.27
1992,0.29
1993,0.27
1994,0.02
1995,0.29
1996,0.29
1997,0.29
1998,0.29
1999,0.29
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.02
2008,0.29
2009,0.29
2010,0.29
2011,0.02
2012,0.02
2013,0.29
2014,0.29
2015,0.0
2016,0.0
2017,0.29
2018,0.02
2019,0.02
2020,0.02
2021,0.0
2022,0.29
2023,0.29
2024,0.0
2025,0.02
2026,0.0
2027,0.0
2028,0.27
2029,0.29
2030,0.27
2031,0.29
2032,0.02
2033,0.27
2034,0.27
2035,0.29
2036,0.29
2037,0.0
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.02
2043,0.27
2044,0.29
2045,0.0
2046,0.0
2047,0.02
2048,0.27
2049,0.29
2050,0.29
2051,0.29
2052,0.27
2053,0.02
2054,0.29
2055,0.08
2056,0.08
2057,0.0
2058,0.0
2059,0.0
2060,0.0
2061,0.0
2062,0.0
2063,0.0
2064,0.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,0.02
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.29
2100,0.0
2101,0.27
2102,0.02
2103,0.0
2104,0.0
2105,0.0
2106,0.02
2107,0.08
2108,0.08
2109,0.29
2110,0.14
2111,0.29
2112,0.27
2113,0.02
2114,0.29
2115,0.29
2116,0.29
2117,0.0
2118,0.0
2119,0.27
2120,0.0
2121,0.0
2122,0.0
2123,0.0
2124,0.0
2125,0.0
2126,0.0
2127,0.14
2128,0.0
2129,0.0
2130,0.02
2131,0.0
2132,0.0
2133,0.0
2134,0.0
2135,0.0
2136,0.0
2137,0.0
2138,0.29
2139,0.29
