,longitud,latitud
8397,-3.7525878,40.3622925
8394,-3.7517429,40.3623374
8396,-3.7519736,40.3623456
8395,-3.7522284,40.3623701
8398,-3.7558682,40.3624866
25274,-3.7548616,40.3631429
25276,-3.7565656,40.3637249
17239,-3.749413,40.3621987
8443,-3.749286,40.3622189
8383,-3.7500719,40.362597
8090,-3.7427107,40.3631274
8382,-3.7465636,40.3632387
36325,-3.7470035,40.3637084
25277,-3.7469524,40.3638286
36328,-3.7462231,40.3638804
25278,-3.7438169,40.3642085
36327,-3.7463733,40.3644751
8089,-3.7384728,40.3633032
8085,-3.7361715,40.3633236
25275,-3.7412933,40.3633771
7689,-3.7388622,40.3633773
8088,-3.7362034,40.3636341
8086,-3.7361393,40.3637365
8081,-3.7372175,40.3637814
52979,-3.7362452,40.3637923
52978,-3.7357033,40.3639475
8082,-3.7383655,40.3639776
25279,-3.7564635,40.3645289
25280,-3.7526333,40.3647273
2216,-3.7556758,40.3650318
25283,-3.7567292,40.3651855
17238,-3.7535046,40.3654922
25284,-3.7544754,40.365809
17248,-3.7540105,40.3675528
17247,-3.7561959,40.3684214
54402,-3.7559869,40.3685433
54401,-3.7556804,40.3685491
3736,-3.7361017,40.3641411
8087,-3.737979,40.3644761
17251,-3.737685,40.3646206
8083,-3.7375716,40.3646357
45670,-3.7378536,40.364792
25286,-3.7404755,40.3688855
25289,-3.7396101,40.3697065
5108,-3.7342124,40.3702256
31627,-3.7391697,40.3707111
31628,-3.7390641,40.370823
25281,-3.747559,40.3650542
2046,-3.7455111,40.3653086
8381,-3.7433905,40.3660222
40882,-3.7450695,40.3663627
14068,-3.7447566,40.3664629
8380,-3.7433771,40.3666639
40881,-3.7447154,40.3668695
4428,-3.7456913,40.3682421
24295,-3.74661,40.3688585
21721,-3.7453757,40.3702462
54400,-3.7545865,40.3687537
54398,-3.7536796,40.3688954
704,-3.7525477,40.3689252
645,-3.7564839,40.3691743
54399,-3.7556537,40.3691791
54397,-3.7534039,40.3692158
54396,-3.7534093,40.3693147
54395,-3.75345,40.3694054
54394,-3.7533685,40.3695335
54393,-3.7532832,40.3696619
13122,-3.7544813,40.3697776
54392,-3.753454,40.3700882
54391,-3.7540561,40.3701024
17260,-3.7533264,40.3701163
54390,-3.7532878,40.3702824
28349,-3.7532517,40.3704464
54389,-3.7532226,40.3705321
54388,-3.7532044,40.370628
54387,-3.7532636,40.3707829
54385,-3.7536747,40.3708211
51982,-3.7810691,40.3018289
48108,-3.7742898,40.3004229
52331,-3.7746712,40.3116086
42735,-3.7734857,40.3139517
41599,-3.7691763,40.3194528
1493,-3.769442,40.3205581
41652,-3.7679783,40.3219476
19674,-3.7701814,40.3222349
17485,-3.7670204,40.3222488
10348,-3.7676518,40.3228243
17558,-3.7693845,40.323019
885,-3.7701345,40.3233992
19673,-3.7696845,40.3235855
42736,-3.7733801,40.3139778
42737,-3.7732953,40.3139987
42738,-3.7732041,40.3140212
42739,-3.7731097,40.3140445
42740,-3.7724123,40.314566
42741,-3.7709103,40.3154516
